Exchange,Nation,Acronym,Name,Google,Yahoo,Currency,WebSite
한국,한국,KSE,Korea Stock Exchange,KRX,.KS,KRW,www.krx.co.kr
KOSDAQ,한국,KOSDAQ,Korea Securities Dealers Automated Quotations,KOSDAQ,.KQ,KRW,www.krx.co.kr
상하이,중국,SSE,Shanghai Stock Exchange,SHA,.SS,CNY,www.sse.com.cn
심천,중국,SZSE,Shenzhen Stock Exchange,SHE,.SZ,CNY,www.szse.cn
홍콩,홍콩,HKEX,Hong Kong Exchanges and Clearing,HKG,.HK,HKD,www.hkex.com.hk
대만,대만,TSE,Taiwan Stock Exchange,TPE,.TW,TWD,www.tse.com.tw
TPEX,대만,TPEX,Taipei Exchange,N/A,.TWO,TWD,www.tpex.org.tw
도쿄,일본,JPX,Japan Exchange,TYO,.T,JPY,www.jpx.co.jp
BMV,멕시코,BMV,Bolsa Mexicana de Valores,BMV,.MX,MXN,www.bmv.com.mx
뉴욕,미국,NYSE,New York Stock Exchange,NYSE,,USD,www.nyse.com
나스닥,미국,NASDAQ,National Association of Securities Dealers Automated Quotation,NASDAQ,,USD,www.nasdaq.com
OTC Markets,미국,OTCQX,Over-The-Counter Market,OTCMKTS,,USD,www.otcmarkets.com
싱가포르,싱가폴,SGX,Singapore Exchange,SGX,.SI,SGD,www.sgx.com
NSE,인도,NSE,National Stock Exchange of India,NSE,.NS,INR,www.nseindia.com
BSE,인도,BSE,Bombay Stock Exchange,BOM,.BO,INR,www.bseindia.com
Ho Chi Minh,베트남,HSX,Hochiminh Stock Exchange,N/A,N/A,VND,www.hsx.vn
하노이,베트남,HNX,Hanoi Stock Exchange,N/A,N/A,VND,www.hastc.org.vn
필리핀,필리핀,PSE,Philippine Stock Exchange,N/A,N/A,PHP,www.pse.com.ph
