,종목,기호,거래소,부문,산업,listing
0,Joong Ang Enervis,440,KOSDAQ,에너지,석유와 가스 운용,New
1,SI Resources,65420,KOSDAQ,에너지,석탄,New
2,HeunguOil,24060,KOSDAQ,에너지,석유와 가스 운용,New
3,UIM Entertainment,43220,KOSDAQ,에너지,석유와 가스 운용,New
4,JC Chemical Ltd,137950,KOSDAQ,에너지,석유와 가스 운용,New
5,Kiwi Media,12170,서울,에너지,석탄,New
6,Fourth-Link,56730,KOSDAQ,에너지,석탄,New
7,E1,17940,서울,에너지,석유와 가스 운용,New
8,STX,11810,서울,에너지,석유와 가스 운용,New
9,한국쉘석유,2960,서울,에너지,석유와 가스 운용,New
10,Seobu T&D,6730,KOSDAQ,에너지,석유와 가스 운용,New
11,SK가스,18670,서울,에너지,석유와 가스 운용,New
12,SK네트웍스,1740,서울,에너지,석유와 가스 운용,New
13,GS,78930,서울,에너지,석유와 가스 운용,New
14,현대중공업,9540,서울,에너지,석유와 가스 운용,New
15,S-Oil,10950,서울,에너지,석유와 가스 운용,New
16,S-Oil Pref,10955,서울,에너지,석유와 가스 운용,New
17,SK이노베이션,96770,서울,에너지,석유와 가스 운용,New
