종목,기호,거래소,부문,산업
Dongfeng Automobile,600006,상하이,경기 민감형 소비재,자동차와 트럭 제조
Cnhtc Truck A,951,심천,경기 민감형 소비재,자동차와 트럭 제조
Gd Chj Industry A,2345,심천,경기 민감형 소비재,보석 및 은제품
Markor International,600337,상하이,경기 민감형 소비재,가구와 비품
Shanghai Haixin B,900917,상하이,경기 민감형 소비재,의복/액세서리
Shanghai Haixin A,600851,상하이,경기 민감형 소비재,의복/액세서리
Zhejiang Jingu A,2488,심천,경기 민감형 소비재,자동차와 트럭 부품
Yotrio Group A,2489,심천,경기 민감형 소비재,가구와 비품
Shanghai Conant Optics,300061,심천,경기 민감형 소비재,여가용 제품
Vanward New Elec A,2543,심천,경기 민감형 소비재,가전과 공구
Guangdong Xinbao A,2705,심천,경기 민감형 소비재,가전과 공구
FAWER Automotive,200030,심천,경기 민감형 소비재,자동차와 트럭 부품
Fawer Automotive A,30,심천,경기 민감형 소비재,자동차와 트럭 부품
Guangzhou Holike Creative Home,603898,상하이,경기 민감형 소비재,가구와 비품
Beijing Wkw Automotive Parts A,2662,심천,경기 민감형 소비재,자동차와 트럭 부품
Luen Thai Holdings,311,홍콩,경기 민감형 소비재,의복/액세서리
National Electronics,213,홍콩,경기 민감형 소비재,보석 및 은제품
Sinomax,1418,홍콩,경기 민감형 소비재,가구와 비품
Ruifeng Power,2025,홍콩,경기 민감형 소비재,자동차와 트럭 부품
Tesson,1201,홍콩,경기 민감형 소비재,오디오와 비디오 장비
Pak Tak Intl,2668,홍콩,경기 민감형 소비재,의복/액세서리
Wuling Motors,305,홍콩,경기 민감형 소비재,자동차와 트럭 부품
Jia Meng,8101,홍콩,경기 민감형 소비재,가구와 비품
Playmates Toys,869,홍콩,경기 민감형 소비재,여가용 제품
Win Hanverky Holdings,3322,홍콩,경기 민감형 소비재,의복/액세서리
Kenford,464,홍콩,경기 민감형 소비재,가전과 공구
Quali-Smart,1348,홍콩,경기 민감형 소비재,여가용 제품
SKY Light,3882,홍콩,경기 민감형 소비재,사진술
China Outfitters,1146,홍콩,경기 민감형 소비재,의복/액세서리
Jinhui Liquor,603919,상하이,소비재/ 경기 방어형,음료(알코올성)
Fujian Anjoy Foods,603345,상하이,소비재/ 경기 방어형,식품 가공
Qianhe Condiment and Food,603027,상하이,소비재/ 경기 방어형,식품 가공
Qinghai Huzhu Barley Wine A,2646,심천,소비재/ 경기 방어형,음료(알코올성)
Oriental Ocean A,2086,심천,소비재/ 경기 방어형,식품 가공
Sz Shenbao A,19,심천,소비재/ 경기 방어형,식품 가공
Shenzhen Shenbao Industrial,200019,심천,소비재/ 경기 방어형,식품 가공
Xinjiang Guannong,600251,상하이,소비재/ 경기 방어형,곡물
Shanghai Laiyifen,603777,상하이,소비재/ 경기 방어형,식품 가공
Guangdong Kinlong Hardware,2791,심천,소비재/ 경기 방어형,개인과 가계용 제품
Beingmate A,2570,심천,소비재/ 경기 방어형,식품 가공
Chongqing Zaisheng Tech,603601,상하이,소비재/ 경기 방어형,개인과 가계용 제품
Kuaijishan Shaoxing Wine,601579,상하이,소비재/ 경기 방어형,음료(알코올성)
Royal Group Co Ltd,2329,심천,소비재/ 경기 방어형,식품 가공
China Green,904,홍콩,소비재/ 경기 방어형,식품 가공
China Candy Holdings Ltd,8182,홍콩,소비재/ 경기 방어형,식품 가공
Asia Pioneer,8400,홍콩,소비재/ 경기 방어형,개인과 가계용 제품
Winning Tower,8362,홍콩,소비재/ 경기 방어형,식품 가공
Asia Grocery,8413,홍콩,소비재/ 경기 방어형,식품 가공
China Demeter Financial,8120,홍콩,소비재/ 경기 방어형,식품 가공
Wealth Glory,8269,홍콩,소비재/ 경기 방어형,식품 가공
WH Group Ltd,288,홍콩,소비재/ 경기 방어형,식품 가공
China Mengniu Dairy Co.,2319,홍콩,소비재/ 경기 방어형,식품 가공
강사부홀딩스,322,홍콩,소비재/ 경기 방어형,음료 (비알코올성)
Dali Foods Co,3799,홍콩,소비재/ 경기 방어형,식품 가공
항안국제,1044,홍콩,소비재/ 경기 방어형,개인과 가계용 제품
왕왕차이나,151,홍콩,소비재/ 경기 방어형,식품 가공
Tsingtao Brewery,168,홍콩,소비재/ 경기 방어형,음료(알코올성)
H&H,1112,홍콩,소비재/ 경기 방어형,식품 가공
