"종목","symbol","거래소","부문","산업"
"SI Resources","065420","KOSDAQ","에너지","석탄"
"HeunguOil","024060","KOSDAQ","에너지","석유와 가스 운용"
"UIM Entertainment","043220","KOSDAQ","에너지","석유와 가스 운용"
"JC Chemical Ltd","137950","KOSDAQ","에너지","석유와 가스 운용"
"Kiwi Media","012170","서울","에너지","석탄"
"Fourth-Link","056730","KOSDAQ","에너지","석탄"
"극동유화","014530","서울","에너지","석유와 가스 운용"
"미창석유","003650","서울","에너지","석유와 가스 운용"
"Leadcorp","012700","KOSDAQ","에너지","석유와 가스 운용"
"대성산업","128820","서울","에너지","석유와 가스 운용"
"E1","017940","서울","에너지","석유와 가스 운용"
